name,model_size,unique_tokens,total_tokens,loss
1b566b66b,1517300000.0,66000000000.0,66000000000.0,2.592968
1b566b12b,1517300000.0,66000000000.0,12000000000.0,2.626113
1b566b1b5,1517300000.0,66000000000.0,1500000000.0,2.992921
1b566b100m,1517300000.0,66000000000.0,100000000.0,11.01838
1b191b91b,1096300000.0,91000000000.0,91000000000.0,2.636805
1b191b12b,1096300000.0,91000000000.0,12000000000.0,2.665932
1b191b400m,1096300000.0,91000000000.0,400000000.0,4.618763
1b191b1b5,1096300000.0,91000000000.0,1500000000.0,2.939082
574m174b174b,573700000.0,174000000000.0,174000000000.0,2.708514
574m174b12b,573700000.0,174000000000.0,12000000000.0,2.738098
574m174b1b5,573700000.0,174000000000.0,1500000000.0,2.895393
574m174b400m,573700000.0,174000000000.0,400000000.0,3.752652
220m300b1b5,220500000.0,300000000000.0,1500000000.0,2.958765
220m600b1b5,220500000.0,600000000000.0,1500000000.0,2.937761
574m300b1b5,573700000.0,300000000000.0,1500000000.0,2.881076
574m600b1b5,573700000.0,600000000000.0,1500000000.0,2.863888
1b1174b1b5,1096300000.0,174000000000.0,1500000000.0,2.974257
1b1250b1b5,1096300000.0,250000000000.0,1500000000.0,2.986145
1b591b1b5,1517300000.0,91000000000.0,1500000000.0,3.034805
1b5174b1b5,1517300000.0,174000000000.0,1500000000.0,3.099245
2b291b1b5,2160013824.0,91000000000.0,1500000000.0,3.176858
2b2174b1b5,2160013824.0,174000000000.0,1500000000.0,3.351022
8b720b1b5,8670000000.0,20000000000.0,1500000000.0,3.084724
2b877b1b5,2810000000.0,77000000000.0,1500000000.0,3.297776
